account,sentiment,trades,total_pnl,mean_pnl,win_rate
0x083384f897ee0f19899168e3b1bec365f52a9012,Extreme Fear,37,124769.2214,3372.1411,1.0
0x083384f897ee0f19899168e3b1bec365f52a9012,Fear,1051,1113373.5475,1059.3469,0.8906
0x083384f897ee0f19899168e3b1bec365f52a9012,Neutral,245,125650.1167,512.8576,1.0
0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,153,276719.2702,1808.6227,0.6013
0x083384f897ee0f19899168e3b1bec365f52a9012,Extreme Greed,246,-40282.3359,-163.7493,0.2561
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Extreme Fear,62,-4235.1531,-68.3089,0.8226
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,1572,-1658.7368,-1.0552,0.7977
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Neutral,394,-11933.0801,-30.287,0.6599
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,1662,30053.3956,18.0827,0.7112
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Extreme Greed,476,35658.8949,74.9136,1.0
0x271b280974205ca63b716753467d5a371de622ab,Extreme Fear,306,16706.8849,54.5977,0.9804
0x271b280974205ca63b716753467d5a371de622ab,Fear,756,30121.9105,39.8438,0.9444
0x271b280974205ca63b716753467d5a371de622ab,Neutral,235,-19038.3406,-81.0142,0.0
0x271b280974205ca63b716753467d5a371de622ab,Greed,306,-100019.8064,-326.8621,0.4314
0x271b280974205ca63b716753467d5a371de622ab,Extreme Greed,4,1793.1602,448.2901,1.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Extreme Fear,278,-25666.0123,-92.3238,0.5935
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Fear,673,13422.5249,19.9443,0.8945
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Neutral,442,5505.7494,12.4564,0.9367
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,1440,31192.592,21.6615,0.925
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Extreme Greed,3939,108009.9606,27.4207,0.8441
0x2c229d22b100a7beb69122eed721cee9b24011dd,Extreme Fear,77,11415.2478,148.25,1.0
0x2c229d22b100a7beb69122eed721cee9b24011dd,Fear,267,3979.1908,14.9033,0.618
0x2c229d22b100a7beb69122eed721cee9b24011dd,Neutral,678,42292.8431,62.3788,0.8614
0x2c229d22b100a7beb69122eed721cee9b24011dd,Greed,167,20075.6729,120.2136,0.8204
0x2c229d22b100a7beb69122eed721cee9b24011dd,Extreme Greed,871,90895.0504,104.3571,0.8278
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Extreme Fear,187,-56967.8258,-304.6408,0.1551
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Fear,193,-467.0589,-2.42,0.9016
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Neutral,31,-1228.9071,-39.6422,0.6452
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Greed,81,-3531.99,-43.6048,0.9136
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Extreme Greed,78,30992.1818,397.3357,0.9487
0x39cef799f8b69da1995852eea189df24eb5cae3c,Extreme Fear,1057,-76179.4949,-72.0714,0.4768
0x39cef799f8b69da1995852eea189df24eb5cae3c,Fear,504,54685.0211,108.502,0.9405
0x39cef799f8b69da1995852eea189df24eb5cae3c,Neutral,113,10953.248,96.9314,1.0
0x39cef799f8b69da1995852eea189df24eb5cae3c,Greed,29,10591.7603,365.2331,0.9655
0x39cef799f8b69da1995852eea189df24eb5cae3c,Extreme Greed,64,14406.3849,225.0998,0.8906
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Extreme Fear,19,110.5534,5.8186,1.0
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Fear,49,4256.5593,86.8686,1.0
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Neutral,1,8019.1631,8019.1631,1.0
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Greed,13,4239.8164,326.1397,1.0
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Extreme Greed,76,36870.1551,485.1336,1.0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Extreme Fear,3,9461.0823,3153.6941,1.0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Fear,35,99648.2783,2847.0937,1.0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Neutral,25,74293.6635,2971.7465,1.0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Greed,2,12082.95,6041.475,1.0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Extreme Greed,25,4019.6186,160.7847,1.0
0x430f09841d65beb3f27765503d0f850b8bce7713,Fear,24,5615.0521,233.9605,1.0
0x430f09841d65beb3f27765503d0f850b8bce7713,Neutral,68,58961.3797,867.0791,1.0
0x430f09841d65beb3f27765503d0f850b8bce7713,Greed,492,227680.4917,462.7652,1.0
0x430f09841d65beb3f27765503d0f850b8bce7713,Extreme Greed,15,124284.9488,8285.6633,1.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Extreme Fear,191,-14527.4425,-76.0599,0.5393
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Fear,429,9999.4842,23.3088,0.8112
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Neutral,345,4029.2417,11.679,0.8348
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Greed,1428,36566.4833,25.6068,0.8347
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Extreme Greed,1270,67275.9494,52.9732,0.8504
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Extreme Fear,311,166696.3995,536.0013,0.9807
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Fear,599,296781.7229,495.462,0.9533
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Neutral,506,97380.0909,192.4508,1.0
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Greed,721,96392.7832,133.6932,0.9376
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Extreme Greed,96,20496.0542,213.5006,0.625
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Fear,159,74346.5466,467.5883,1.0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Fear,477,-19126.1581,-40.0968,0.8616
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Neutral,574,45514.3232,79.2932,0.9495
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Greed,849,79023.4715,93.0783,0.9446
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,890,129217.6865,145.1884,0.9169
0x513b8629fe877bb581bf244e326a047b249c4ff1,Extreme Fear,157,-71121.8207,-453.0052,0.6688
0x513b8629fe877bb581bf244e326a047b249c4ff1,Fear,2576,367166.2169,142.5335,0.8602
0x513b8629fe877bb581bf244e326a047b249c4ff1,Neutral,1443,381330.494,264.2623,0.9667
0x513b8629fe877bb581bf244e326a047b249c4ff1,Greed,1306,163047.6649,124.8451,0.9135
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Extreme Fear,46,2037.2586,44.2882,0.9565
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Fear,82,2040.3591,24.8824,0.9634
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Neutral,23,1258.1209,54.7009,1.0
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Greed,122,30203.401,247.5689,1.0
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Extreme Greed,153,73192.0771,478.3796,1.0
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Extreme Fear,312,33980.0,108.9103,1.0
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Fear,156,-58219.7523,-373.2035,0.3205
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Greed,269,453595.3182,1686.2279,0.6989
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Extreme Fear,187,198900.5616,1063.6394,0.4973
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Fear,305,144514.3446,473.8175,0.9115
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Neutral,5,-4526.6985,-905.3397,0.0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Greed,60,21077.717,351.2953,1.0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Extreme Greed,1,573.5853,573.5853,1.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Fear,291,25672.8381,88.2228,0.9931
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Fear,1498,49364.2757,32.9535,0.8658
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Neutral,1197,-2605.9565,-2.1771,0.8747
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,2240,95937.3942,42.8292,0.9442
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,3434,210726.8553,61.3648,0.9534
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Extreme Fear,397,3222.8221,8.1179,0.9849
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Fear,287,4036.5523,14.0646,0.8885
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Neutral,17,-395.056,-23.2386,0.8235
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Greed,44,6775.292,153.9839,1.0
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Extreme Greed,1,1260.8326,1260.8326,1.0
0x8170715b3b381dffb7062c0298972d4727a0a63b,Extreme Fear,55,12713.4931,231.1544,0.8
0x8170715b3b381dffb7062c0298972d4727a0a63b,Fear,607,151292.7329,249.2467,0.8534
0x8170715b3b381dffb7062c0298972d4727a0a63b,Neutral,354,47610.4607,134.4928,0.8192
0x8170715b3b381dffb7062c0298972d4727a0a63b,Greed,1290,-360101.8982,-279.1488,0.7008
0x8170715b3b381dffb7062c0298972d4727a0a63b,Extreme Greed,35,-19135.9133,-546.7404,0.1429
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Extreme Fear,25,-4825.4964,-193.0199,0.4
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Fear,19,258.4153,13.6008,1.0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Neutral,518,12960.11,25.0195,0.8822
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Greed,145,57108.9113,393.8546,0.9862
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Extreme Greed,7,11.7177,1.674,0.2857
0x8477e447846c758f5a675856001ea72298fd9cb5,Extreme Fear,167,1774.3098,10.6246,0.8084
0x8477e447846c758f5a675856001ea72298fd9cb5,Fear,584,9299.4845,15.9238,0.8253
0x8477e447846c758f5a675856001ea72298fd9cb5,Neutral,942,808.3427,0.8581,0.655
0x8477e447846c758f5a675856001ea72298fd9cb5,Greed,3366,-24036.5391,-7.141,0.4026
0x8477e447846c758f5a675856001ea72298fd9cb5,Extreme Greed,1500,56071.4111,37.3809,0.8933
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Extreme Fear,33,3425.961,103.817,1.0
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Fear,7,-621.5451,-88.7922,0.0
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Greed,419,60254.2516,143.8049,0.9666
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Extreme Greed,433,63520.2747,146.6981,1.0
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Extreme Fear,62,1011.2589,16.3106,0.9839
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Fear,743,12934.4693,17.4084,0.996
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Neutral,1826,9467.0216,5.1846,0.9447
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Greed,1400,35098.8775,25.0706,0.9921
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Extreme Greed,1530,47791.2478,31.2361,0.968
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Extreme Fear,4,-961.0485,-240.2621,0.0
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Fear,13,-16719.9137,-1286.1472,0.2308
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Neutral,2,-53.6314,-26.8157,0.0
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Greed,103,44169.8107,428.8331,1.0
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Extreme Greed,133,46411.2671,348.9569,1.0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Extreme Fear,6,622.4108,103.7351,1.0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Fear,43,8129.3407,189.0544,1.0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Greed,76,38168.3549,502.2152,1.0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Extreme Greed,105,20925.5132,199.2906,1.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Fear,207,14542.7029,70.2546,0.7198
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Neutral,20,7157.6836,357.8842,1.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Greed,2,43.2005,21.6002,1.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Extreme Greed,1,15.2447,15.2447,1.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Fear,398,9544.9061,23.9822,0.5779
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Fear,989,93165.1614,94.2014,0.9939
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Neutral,1535,401309.4347,261.4394,0.8515
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,2464,534058.2363,216.7444,0.653
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,893,1105304.8592,1237.7434,0.9384
0xb899e522b5715391ae1d4f137653e7906c5e2115,Extreme Fear,830,-33221.8068,-40.0263,0.6386
0xb899e522b5715391ae1d4f137653e7906c5e2115,Fear,1643,51692.3587,31.4622,0.9166
0xb899e522b5715391ae1d4f137653e7906c5e2115,Neutral,168,4017.9489,23.9164,0.5119
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Extreme Fear,1700,261917.9778,154.0694,1.0
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Fear,6283,620872.3758,98.8178,0.9863
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Neutral,2011,57368.7801,28.5275,1.0
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Greed,3,4.6725,1.5575,0.3333
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Extreme Fear,171,37712.5234,220.5411,0.5673
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Fear,700,236797.7277,338.2825,0.8414
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Neutral,149,-90302.5537,-606.0574,0.4564
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Greed,100,30258.2039,302.582,0.85
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Extreme Greed,57,6053.1606,106.1958,0.4561
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Extreme Fear,2878,30774.0921,10.6929,0.7293
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Fear,6437,55978.797,8.6964,0.7547
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Neutral,4292,27116.6827,6.318,0.6598
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Greed,4424,243399.5131,55.018,0.7708
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Extreme Greed,4520,478811.4682,105.9317,0.8869
